Time da Casa,Time Visitante,Gols da Casa,Gols Visitante
Atlético de Madrid,Lyon,1,4
Borussia Dortmund,Liverpool,4,5
Tottenham Hotspur,Manchester City,2,1
Napoli,Lyon,0,1
Inter Milan,Manchester City,2,1
Sevilla,Inter Milan,4,0
Atlético de Madrid,Real Madrid,5,5
Manchester United,Chelsea,1,3
Juventus,Liverpool,5,1
Bayern Munich,Sevilla,2,3
Inter Milan,Arsenal,5,0
Benfica,Manchester City,0,5
Real Madrid,Lyon,0,4
Barcelona,Sevilla,3,1
Lyon,RB Leipzig,0,5
Inter Milan,AC Milan,1,2
Juventus,Arsenal,4,0
Napoli,Manchester City,1,0
AC Milan,Inter Milan,2,5
Bayern Munich,Barcelona,4,0
Arsenal,AC Milan,4,5
Barcelona,Inter Milan,0,1
RB Leipzig,Chelsea,2,5
Real Madrid,Barcelona,1,3
Arsenal,Atlético de Madrid,2,4
Liverpool,Benfica,0,3
Real Madrid,Lyon,3,3
Borussia Dortmund,Liverpool,2,0
Real Madrid,Manchester United,5,4
Bayern Munich,Manchester United,3,1
Napoli,Bayern Munich,1,5
Barcelona,Tottenham Hotspur,2,2
AC Milan,Chelsea,2,4
Borussia Dortmund,Napoli,1,4
Arsenal,Manchester City,2,1
Tottenham Hotspur,Sevilla,5,3
Arsenal,Sevilla,1,0
Lyon,Atlético de Madrid,3,0
RB Leipzig,Real Madrid,4,1
Napoli,Tottenham Hotspur,4,5
AC Milan,Benfica,0,4
Barcelona,Borussia Dortmund,5,0
Inter Milan,Juventus,3,3
Napoli,RB Leipzig,3,4
Lyon,Arsenal,4,1
RB Leipzig,Arsenal,0,5
RB Leipzig,Borussia Dortmund,0,5
Liverpool,Real Madrid,4,3
Barcelona,Manchester United,1,5
Manchester City,Paris Saint-Germain,4,3
RB Leipzig,Paris Saint-Germain,5,0
Borussia Dortmund,Atlético de Madrid,4,1
Manchester United,Real Madrid,5,5
Arsenal,Real Madrid,4,1
Borussia Dortmund,Arsenal,1,1
Chelsea,Napoli,3,3
Paris Saint-Germain,Atlético de Madrid,0,0
Sevilla,Benfica,1,4
Liverpool,Borussia Dortmund,4,1
Sevilla,Lyon,2,3
Juventus,Bayern Munich,3,4
Juventus,Bayern Munich,2,5
Manchester City,Liverpool,2,1
Real Madrid,Juventus,3,3
Manchester City,Juventus,0,3
Borussia Dortmund,Manchester City,0,1
Manchester United,Tottenham Hotspur,3,5
Benfica,Chelsea,0,0
Arsenal,Tottenham Hotspur,4,5
Manchester United,Lyon,3,4
AC Milan,Juventus,2,5
Inter Milan,Liverpool,3,3
Atlético de Madrid,Arsenal,3,4
Real Madrid,Liverpool,1,0
Lyon,Atlético de Madrid,0,0
Sevilla,Atlético de Madrid,5,5
Manchester United,Napoli,1,2
RB Leipzig,Inter Milan,4,3
Paris Saint-Germain,AC Milan,4,3
Atlético de Madrid,Juventus,4,5
Real Madrid,AC Milan,2,2
RB Leipzig,Manchester United,1,3
Bayern Munich,Manchester United,3,2
Inter Milan,Juventus,1,0
Bayern Munich,Real Madrid,3,0
Bayern Munich,Paris Saint-Germain,5,5
Tottenham Hotspur,Barcelona,5,2
Real Madrid,Atlético de Madrid,3,0
Borussia Dortmund,Atlético de Madrid,1,2
Arsenal,Napoli,4,0
Arsenal,Real Madrid,1,0
Tottenham Hotspur,Real Madrid,2,1
Sevilla,Bayern Munich,5,2
Paris Saint-Germain,Real Madrid,2,5
Sevilla,Atlético de Madrid,4,2
AC Milan,Sevilla,1,3
Napoli,Liverpool,3,3
Juventus,Arsenal,5,2
RB Leipzig,Manchester United,1,5
Tottenham Hotspur,Barcelona,1,2
Napoli,Bayern Munich,0,5
Liverpool,Manchester United,2,2
Real Madrid,Bayern Munich,4,3
Chelsea,Paris Saint-Germain,5,3
Manchester City,Manchester United,4,3
RB Leipzig,Benfica,5,2
Borussia Dortmund,Chelsea,5,1
Borussia Dortmund,Inter Milan,3,0
Barcelona,Liverpool,3,0
Manchester United,Paris Saint-Germain,0,0
Tottenham Hotspur,Benfica,3,0
RB Leipzig,Barcelona,1,4
Barcelona,Atlético de Madrid,3,2
Benfica,Inter Milan,1,1
Paris Saint-Germain,Lyon,1,3
Manchester City,Liverpool,1,0
Napoli,AC Milan,2,0
Manchester City,Barcelona,4,1
Benfica,Manchester City,4,0
Juventus,Sevilla,3,0
Manchester City,Benfica,0,4
Chelsea,Sevilla,1,0
Liverpool,Lyon,2,0
Manchester City,Arsenal,0,3
Atlético de Madrid,Chelsea,4,3
Liverpool,AC Milan,0,5
Borussia Dortmund,Chelsea,3,4
Inter Milan,Borussia Dortmund,5,0
Tottenham Hotspur,Paris Saint-Germain,3,0
Arsenal,Benfica,4,1
Tottenham Hotspur,Liverpool,4,1
Benfica,Tottenham Hotspur,4,4
Atlético de Madrid,Manchester City,5,2
Juventus,Napoli,3,5
Sevilla,Bayern Munich,3,1
Liverpool,Bayern Munich,4,3
Paris Saint-Germain,Napoli,1,4
Barcelona,Napoli,3,0
Tottenham Hotspur,Real Madrid,4,0
Manchester City,Napoli,4,4
Liverpool,Paris Saint-Germain,5,0
Arsenal,Manchester United,1,4
Real Madrid,Napoli,0,1
Tottenham Hotspur,Chelsea,5,1
Inter Milan,Liverpool,3,5
Sevilla,Chelsea,3,2
Lyon,Barcelona,0,4
Bayern Munich,Napoli,3,4
Sevilla,Borussia Dortmund,4,0
Inter Milan,Lyon,5,0
Liverpool,Benfica,1,4
Liverpool,Tottenham Hotspur,5,2
Juventus,Barcelona,5,2
Paris Saint-Germain,Lyon,5,0
Manchester City,Borussia Dortmund,4,2
Benfica,Chelsea,5,1
Juventus,Atlético de Madrid,1,2
Liverpool,Manchester City,1,4
Bayern Munich,Tottenham Hotspur,5,4
Tottenham Hotspur,Sevilla,2,5
Paris Saint-Germain,Arsenal,1,5
Arsenal,Tottenham Hotspur,1,2
Manchester City,Borussia Dortmund,3,4
Atlético de Madrid,Manchester City,1,5
AC Milan,Chelsea,1,5
RB Leipzig,Liverpool,2,3
Napoli,Manchester City,0,2
Napoli,Atlético de Madrid,2,1
Inter Milan,Bayern Munich,5,1
Napoli,Inter Milan,4,4
Paris Saint-Germain,AC Milan,0,2
Paris Saint-Germain,RB Leipzig,3,2
AC Milan,Juventus,4,5
Sevilla,Napoli,1,5
Napoli,Juventus,3,2
Sevilla,Inter Milan,5,3
Manchester City,Lyon,2,5
Paris Saint-Germain,Liverpool,4,4
Barcelona,Chelsea,0,1
AC Milan,Benfica,3,5
Manchester United,Liverpool,3,4
Chelsea,Atlético de Madrid,0,5
AC Milan,Liverpool,1,3
Arsenal,Bayern Munich,0,4
Atlético de Madrid,Manchester City,4,0
Liverpool,Real Madrid,1,4
Manchester City,Tottenham Hotspur,0,0
Barcelona,Real Madrid,1,0
Napoli,Liverpool,0,3
Arsenal,Juventus,5,0
Barcelona,Real Madrid,4,1
Tottenham Hotspur,Borussia Dortmund,0,1
Sevilla,Manchester City,2,4
Napoli,Real Madrid,3,2
Lyon,Sevilla,5,4
Inter Milan,AC Milan,5,1
Chelsea,Benfica,2,4
Borussia Dortmund,Manchester City,1,3
Juventus,Lyon,4,1
Atlético de Madrid,Tottenham Hotspur,2,4
Borussia Dortmund,Juventus,2,4
Atlético de Madrid,Tottenham Hotspur,1,1
Arsenal,Lyon,5,1
AC Milan,Lyon,0,0
Chelsea,Atlético de Madrid,0,2
Arsenal,Liverpool,3,2
Benfica,Manchester City,1,4
Liverpool,Napoli,1,2
Inter Milan,Bayern Munich,4,0
Borussia Dortmund,Juventus,0,4
Borussia Dortmund,Juventus,3,0
Manchester United,Chelsea,2,3
Paris Saint-Germain,Inter Milan,1,1
Arsenal,Inter Milan,1,2
Arsenal,Liverpool,5,0
Barcelona,Juventus,4,0
Lyon,Liverpool,4,2
Manchester United,Bayern Munich,4,2
Benfica,Borussia Dortmund,4,0
Tottenham Hotspur,Benfica,4,3
Paris Saint-Germain,Lyon,3,3
Liverpool,Lyon,4,3
Napoli,Chelsea,4,4
Atlético de Madrid,Manchester City,4,3
Manchester City,Sevilla,4,2
RB Leipzig,Napoli,4,5
Benfica,Arsenal,0,1
Napoli,Bayern Munich,1,0
Lyon,Napoli,5,0
Sevilla,Benfica,4,5
RB Leipzig,Barcelona,3,2
Tottenham Hotspur,Lyon,5,3
Benfica,Sevilla,4,0
Paris Saint-Germain,Napoli,4,1
Bayern Munich,Liverpool,3,4
Barcelona,Arsenal,1,4
Manchester City,Manchester United,1,1
Barcelona,AC Milan,2,2
Sevilla,Napoli,0,3
Juventus,Inter Milan,2,3
Juventus,Manchester City,4,0
Borussia Dortmund,Manchester United,5,5
Arsenal,AC Milan,1,3
Atlético de Madrid,Lyon,3,2
Liverpool,Arsenal,3,3
Liverpool,Manchester City,4,0
Borussia Dortmund,Tottenham Hotspur,0,1
Paris Saint-Germain,Borussia Dortmund,0,3
Juventus,Lyon,3,5
Sevilla,Borussia Dortmund,0,2
Paris Saint-Germain,Napoli,1,3
AC Milan,Real Madrid,0,1
Arsenal,Inter Milan,5,5
Manchester United,Juventus,2,1
Chelsea,Atlético de Madrid,5,1
Arsenal,Barcelona,0,4
Barcelona,Lyon,2,5
Arsenal,Benfica,3,4
Sevilla,Arsenal,5,4
Tottenham Hotspur,Benfica,1,5
Napoli,Lyon,2,1
Inter Milan,Atlético de Madrid,5,5
Tottenham Hotspur,Barcelona,2,3
Real Madrid,Inter Milan,1,5
RB Leipzig,Lyon,2,3
Atlético de Madrid,Tottenham Hotspur,4,4
Inter Milan,Sevilla,5,3
Napoli,Real Madrid,1,1
Atlético de Madrid,Real Madrid,0,2
Barcelona,Arsenal,2,4
Bayern Munich,Lyon,0,2
AC Milan,Manchester City,0,5
Manchester United,Arsenal,3,4
Juventus,Sevilla,2,0
Chelsea,Paris Saint-Germain,5,0
Chelsea,Sevilla,1,3
Barcelona,Tottenham Hotspur,3,4
Lyon,Juventus,5,4
Sevilla,Inter Milan,4,4
Manchester United,Inter Milan,3,5
Benfica,Manchester City,2,0
Real Madrid,Juventus,4,4
Juventus,Tottenham Hotspur,5,2
Manchester United,Arsenal,4,4
Atlético de Madrid,Inter Milan,4,1
Inter Milan,Manchester City,1,2
Chelsea,AC Milan,0,1
Napoli,Borussia Dortmund,1,1
Manchester United,Manchester City,0,2
Paris Saint-Germain,Sevilla,3,1
Real Madrid,Borussia Dortmund,2,3
Borussia Dortmund,Arsenal,5,4
Borussia Dortmund,RB Leipzig,0,2
Barcelona,Juventus,3,4
Real Madrid,Liverpool,1,2
Sevilla,Liverpool,4,1
Barcelona,Chelsea,3,5
Liverpool,Benfica,3,2
Chelsea,AC Milan,0,4
Barcelona,Tottenham Hotspur,3,0
Liverpool,Paris Saint-Germain,3,1
Paris Saint-Germain,Barcelona,0,2
Lyon,Bayern Munich,5,2
Napoli,Borussia Dortmund,0,3
Bayern Munich,Juventus,5,2
Manchester United,Bayern Munich,4,1
Bayern Munich,Inter Milan,5,0
Real Madrid,Bayern Munich,3,5
Arsenal,Napoli,1,2
Real Madrid,Manchester City,0,2
Borussia Dortmund,Tottenham Hotspur,5,2
Lyon,Manchester City,4,5
Lyon,Chelsea,3,4
Chelsea,Real Madrid,1,5
Liverpool,Chelsea,2,4
RB Leipzig,Juventus,1,1
RB Leipzig,Manchester United,2,3
Benfica,Barcelona,4,1
Manchester City,Chelsea,1,5
Tottenham Hotspur,Real Madrid,3,4
Manchester City,Manchester United,1,2
Manchester City,Benfica,1,2
Lyon,Chelsea,5,3
Manchester City,Atlético de Madrid,5,2
Sevilla,Arsenal,3,3
Manchester City,Sevilla,4,3
Real Madrid,Sevilla,4,2
Tottenham Hotspur,AC Milan,1,4
Atlético de Madrid,Arsenal,5,4
Manchester United,Inter Milan,3,1
Manchester City,Atlético de Madrid,2,2
Arsenal,Real Madrid,4,1
Atlético de Madrid,Benfica,0,1
Manchester United,Liverpool,1,5
Liverpool,Paris Saint-Germain,0,0
Borussia Dortmund,Benfica,5,4
Borussia Dortmund,Sevilla,0,1
AC Milan,Bayern Munich,1,3
Napoli,Sevilla,4,4
Manchester United,Tottenham Hotspur,0,2
RB Leipzig,Barcelona,3,2
Inter Milan,Sevilla,0,0
Manchester United,Juventus,0,1
Liverpool,Napoli,2,4
Tottenham Hotspur,Manchester United,4,2
Bayern Munich,Napoli,0,0
Inter Milan,Real Madrid,2,4
Tottenham Hotspur,Napoli,4,0
Inter Milan,Liverpool,4,3
Real Madrid,Juventus,2,5
Juventus,Barcelona,5,0
RB Leipzig,Liverpool,2,3
Paris Saint-Germain,Benfica,3,0
Manchester City,Sevilla,1,2
Tottenham Hotspur,Real Madrid,4,5
Benfica,Barcelona,1,5
Liverpool,Tottenham Hotspur,2,4
Chelsea,Paris Saint-Germain,4,4
Napoli,Inter Milan,2,5
Bayern Munich,Real Madrid,2,1
Atlético de Madrid,Juventus,0,1
Arsenal,Paris Saint-Germain,1,4
Juventus,Real Madrid,0,0
Bayern Munich,Liverpool,4,3
Juventus,Liverpool,4,4
Inter Milan,AC Milan,0,1
Liverpool,Borussia Dortmund,0,1
Chelsea,Tottenham Hotspur,4,1
Lyon,Inter Milan,3,1
Sevilla,Benfica,3,5
RB Leipzig,Chelsea,2,4
Benfica,Tottenham Hotspur,2,2
Juventus,Barcelona,4,0
AC Milan,Manchester United,0,3
Lyon,Napoli,2,4
Barcelona,Benfica,0,1
Barcelona,Juventus,0,5
Arsenal,AC Milan,5,4
Lyon,Borussia Dortmund,4,2
Inter Milan,Borussia Dortmund,0,3
Inter Milan,Manchester City,0,1
Tottenham Hotspur,Inter Milan,0,1
Paris Saint-Germain,Manchester City,0,3
Lyon,Sevilla,0,5
Real Madrid,Tottenham Hotspur,3,0
Juventus,Manchester United,2,5
Liverpool,Arsenal,2,1
Lyon,Arsenal,1,5
Liverpool,Chelsea,4,3
Tottenham Hotspur,Manchester City,0,4
Chelsea,RB Leipzig,5,3
Real Madrid,Sevilla,3,0
Chelsea,Napoli,3,2
RB Leipzig,Barcelona,4,1
Manchester City,Borussia Dortmund,5,4
Liverpool,Bayern Munich,5,0
Benfica,Real Madrid,4,2
Benfica,Bayern Munich,1,1
Manchester United,Chelsea,5,0
Chelsea,Inter Milan,4,0
Juventus,Liverpool,5,5
Benfica,Atlético de Madrid,1,1
Atlético de Madrid,AC Milan,4,5
Manchester United,RB Leipzig,0,0
Sevilla,Chelsea,0,5
AC Milan,Lyon,1,3
Borussia Dortmund,Lyon,4,1
Borussia Dortmund,Liverpool,0,1
Borussia Dortmund,AC Milan,4,0
Tottenham Hotspur,Atlético de Madrid,4,1
Barcelona,Inter Milan,4,1
Liverpool,Chelsea,1,5
Juventus,Benfica,5,2
Inter Milan,Juventus,0,3
Arsenal,Chelsea,2,0
Benfica,Napoli,1,5
Bayern Munich,Inter Milan,1,5
Inter Milan,RB Leipzig,4,2
Paris Saint-Germain,Manchester United,1,0
Borussia Dortmund,AC Milan,2,1
Tottenham Hotspur,RB Leipzig,3,0
Napoli,Chelsea,5,1
Napoli,Manchester United,5,5
Paris Saint-Germain,Manchester City,2,3
Manchester United,Inter Milan,2,4
RB Leipzig,Real Madrid,3,3
Manchester United,Borussia Dortmund,0,5
Arsenal,Juventus,1,0
Benfica,Napoli,0,0
Chelsea,Manchester City,4,5
Napoli,Manchester United,5,4
Tottenham Hotspur,Inter Milan,4,0
Bayern Munich,Juventus,0,0
AC Milan,Bayern Munich,2,1
Manchester United,Atlético de Madrid,4,5
Barcelona,Benfica,3,1
Tottenham Hotspur,Arsenal,1,5
Borussia Dortmund,Lyon,1,0
Lyon,Manchester City,2,5
Atlético de Madrid,Juventus,4,3
Benfica,Juventus,2,5
AC Milan,Borussia Dortmund,1,3
Borussia Dortmund,Chelsea,0,4
Arsenal,RB Leipzig,2,4
Lyon,Atlético de Madrid,4,2
Inter Milan,Real Madrid,1,0
Liverpool,Inter Milan,2,5
Real Madrid,Paris Saint-Germain,5,2
Arsenal,Napoli,2,2
RB Leipzig,Arsenal,3,5
Sevilla,Benfica,0,4
Manchester City,Benfica,5,2
Manchester City,Borussia Dortmund,0,5
Real Madrid,Benfica,1,4
Paris Saint-Germain,Manchester United,0,5
Tottenham Hotspur,Atlético de Madrid,4,4
Paris Saint-Germain,Manchester United,4,5
Tottenham Hotspur,Napoli,1,3
Manchester United,Tottenham Hotspur,3,2
Manchester United,Bayern Munich,0,3
Barcelona,Chelsea,1,0
Paris Saint-Germain,Liverpool,5,0
Arsenal,Borussia Dortmund,4,5
Arsenal,Borussia Dortmund,2,3
Juventus,Real Madrid,3,0
Juventus,Atlético de Madrid,3,5
Lyon,Sevilla,3,0
Sevilla,AC Milan,0,2
Benfica,Napoli,3,3
Borussia Dortmund,Napoli,0,5
Liverpool,Chelsea,0,5
Lyon,Arsenal,4,2
Napoli,Sevilla,1,4
Liverpool,Tottenham Hotspur,3,1
Tottenham Hotspur,Atlético de Madrid,5,1
Inter Milan,Bayern Munich,1,4
Borussia Dortmund,Napoli,4,2
Benfica,AC Milan,0,4
Paris Saint-Germain,Real Madrid,1,3
Manchester City,Real Madrid,0,4
Paris Saint-Germain,Lyon,2,2
Atlético de Madrid,Arsenal,5,4
Lyon,Manchester City,5,1
RB Leipzig,Borussia Dortmund,5,5
Atlético de Madrid,Borussia Dortmund,1,2
Sevilla,Atlético de Madrid,3,1
Inter Milan,Sevilla,4,3
Borussia Dortmund,Arsenal,2,1
Lyon,Atlético de Madrid,4,3
Arsenal,Benfica,2,2
Sevilla,Barcelona,5,3
Bayern Munich,Real Madrid,5,1
Liverpool,Barcelona,0,4
Real Madrid,Benfica,0,2
Bayern Munich,Manchester United,3,1
Bayern Munich,Tottenham Hotspur,0,2
Napoli,Sevilla,0,2
Juventus,Lyon,2,1
Barcelona,Juventus,4,1
Paris Saint-Germain,Manchester United,4,2
Liverpool,Tottenham Hotspur,1,2
Arsenal,Barcelona,2,4
Lyon,Inter Milan,1,3
Napoli,Barcelona,3,5
Manchester City,Borussia Dortmund,4,2
Napoli,Benfica,1,1
Barcelona,Napoli,0,1
Tottenham Hotspur,Arsenal,5,0
Bayern Munich,Lyon,2,4
AC Milan,Manchester City,0,4
Real Madrid,Tottenham Hotspur,0,3
Benfica,Arsenal,2,1
Borussia Dortmund,Bayern Munich,4,3
Borussia Dortmund,Arsenal,4,0
Juventus,Chelsea,4,1
Lyon,Benfica,3,3
Liverpool,Barcelona,3,3
Paris Saint-Germain,Lyon,0,5
Inter Milan,Lyon,4,4
Napoli,Manchester City,5,5
Napoli,Juventus,3,0
Napoli,Sevilla,2,2
Lyon,Tottenham Hotspur,0,0
Manchester City,Tottenham Hotspur,4,4
AC Milan,Paris Saint-Germain,2,1
Inter Milan,Chelsea,5,2
Lyon,Chelsea,3,4
Juventus,Manchester City,4,4
Bayern Munich,Liverpool,5,0
Sevilla,Real Madrid,2,2
Sevilla,Tottenham Hotspur,4,5
Benfica,Paris Saint-Germain,4,0
Sevilla,Chelsea,0,1
Manchester United,Inter Milan,5,2
Benfica,Borussia Dortmund,1,2
Manchester United,Arsenal,5,1
Lyon,AC Milan,1,1
Benfica,Barcelona,5,5
Juventus,AC Milan,2,3
Paris Saint-Germain,Arsenal,1,0
Benfica,Inter Milan,4,4
Sevilla,RB Leipzig,1,5
Manchester United,Liverpool,0,5
Manchester City,Paris Saint-Germain,3,2
Manchester United,Tottenham Hotspur,5,3
Manchester City,Bayern Munich,1,1
Inter Milan,RB Leipzig,3,5
Liverpool,Borussia Dortmund,4,1
Manchester United,Inter Milan,0,3
Juventus,Manchester United,0,3
Barcelona,Borussia Dortmund,5,0
Paris Saint-Germain,Arsenal,4,3
Sevilla,Tottenham Hotspur,3,3
Atlético de Madrid,Liverpool,1,5
Benfica,Chelsea,1,5
AC Milan,Borussia Dortmund,2,1
RB Leipzig,Napoli,3,0
Barcelona,Napoli,3,2
Bayern Munich,RB Leipzig,0,1
Paris Saint-Germain,Arsenal,3,3
Liverpool,Barcelona,1,0
Barcelona,Borussia Dortmund,2,1
Paris Saint-Germain,Arsenal,3,0
Sevilla,Manchester United,1,4
RB Leipzig,Inter Milan,0,1
Bayern Munich,Manchester United,5,0
Liverpool,Barcelona,0,1
Liverpool,Juventus,4,1
Juventus,Tottenham Hotspur,4,5
Arsenal,Tottenham Hotspur,5,5
Tottenham Hotspur,Real Madrid,1,1
Bayern Munich,Sevilla,2,0
Liverpool,Arsenal,5,3
Barcelona,Tottenham Hotspur,3,2
Borussia Dortmund,Benfica,0,1
Juventus,Manchester City,4,3
Sevilla,Chelsea,4,2
Sevilla,Juventus,2,4
Borussia Dortmund,Napoli,2,3
RB Leipzig,Arsenal,2,3
Bayern Munich,Real Madrid,0,4
Lyon,Napoli,1,2
Bayern Munich,Tottenham Hotspur,3,2
Paris Saint-Germain,Borussia Dortmund,1,3
Paris Saint-Germain,Borussia Dortmund,2,1
RB Leipzig,Benfica,2,1
Real Madrid,Lyon,2,0
Barcelona,Paris Saint-Germain,5,4
Manchester United,Inter Milan,0,3
Borussia Dortmund,Lyon,5,4
Atlético de Madrid,RB Leipzig,0,2
Borussia Dortmund,AC Milan,1,0
Napoli,Manchester United,0,3
Napoli,Atlético de Madrid,1,5
Atlético de Madrid,Benfica,1,5
AC Milan,Bayern Munich,2,5
Liverpool,Napoli,1,4
Real Madrid,Liverpool,1,1
Sevilla,Paris Saint-Germain,0,4
Arsenal,Paris Saint-Germain,1,1
Lyon,Manchester City,5,1
RB Leipzig,Napoli,1,0
Atlético de Madrid,Lyon,2,3
Inter Milan,Manchester City,1,4
Liverpool,Inter Milan,2,0
Liverpool,Atlético de Madrid,4,2
Barcelona,Paris Saint-Germain,0,1
Paris Saint-Germain,Manchester United,4,1
Bayern Munich,Napoli,2,1
Liverpool,Benfica,0,1
Juventus,Napoli,2,1
Lyon,Inter Milan,3,4
Juventus,Arsenal,3,1
Arsenal,Bayern Munich,5,4
Tottenham Hotspur,Borussia Dortmund,3,0
Barcelona,Real Madrid,0,3
Barcelona,Manchester City,1,0
Benfica,Juventus,3,0
Bayern Munich,Paris Saint-Germain,1,3
Barcelona,Tottenham Hotspur,0,4
Sevilla,Borussia Dortmund,0,5
Sevilla,Paris Saint-Germain,2,2
Atlético de Madrid,Benfica,3,1
AC Milan,Benfica,5,0
Liverpool,Napoli,2,1
Manchester City,Chelsea,2,5
Inter Milan,Paris Saint-Germain,5,0
Borussia Dortmund,Bayern Munich,0,1
Manchester United,Benfica,0,5
Manchester City,Lyon,0,3
Manchester City,RB Leipzig,3,2
Benfica,Lyon,1,2
Sevilla,Inter Milan,2,0
Tottenham Hotspur,Inter Milan,4,2
Barcelona,AC Milan,2,4
Sevilla,Napoli,0,5
AC Milan,Atlético de Madrid,3,1
Inter Milan,Real Madrid,4,4
Atlético de Madrid,Sevilla,5,2
Borussia Dortmund,Manchester United,0,4
Chelsea,Barcelona,5,0
Chelsea,Benfica,3,1
Inter Milan,Chelsea,2,2
Paris Saint-Germain,Manchester City,2,0
Manchester United,AC Milan,0,0
Tottenham Hotspur,RB Leipzig,5,1
Lyon,Paris Saint-Germain,3,0
Sevilla,Benfica,4,5
Tottenham Hotspur,Sevilla,5,3
Sevilla,Tottenham Hotspur,1,3
Arsenal,RB Leipzig,1,3
Arsenal,Manchester City,3,3
Arsenal,Lyon,0,3
Sevilla,Tottenham Hotspur,2,0
Lyon,Benfica,3,5
Bayern Munich,RB Leipzig,5,2
Chelsea,RB Leipzig,3,1
Manchester City,Tottenham Hotspur,0,0
Lyon,Tottenham Hotspur,2,0
Real Madrid,Bayern Munich,0,3
Liverpool,Inter Milan,0,3
Chelsea,Sevilla,3,3
Barcelona,Manchester City,3,0
Borussia Dortmund,Inter Milan,3,2
Napoli,Manchester United,3,5
Manchester United,Bayern Munich,5,5
Manchester United,Lyon,1,5
RB Leipzig,Bayern Munich,2,5
Arsenal,Liverpool,5,1
RB Leipzig,Bayern Munich,5,0
Liverpool,Manchester City,5,3
Manchester City,Inter Milan,0,1
Sevilla,RB Leipzig,2,3
Benfica,Juventus,3,4
AC Milan,Lyon,0,4
Paris Saint-Germain,Napoli,4,5
Juventus,AC Milan,4,1
AC Milan,Juventus,3,2
Manchester United,AC Milan,1,0
Borussia Dortmund,RB Leipzig,2,4
Sevilla,RB Leipzig,1,1
Benfica,RB Leipzig,1,3
Benfica,Sevilla,0,2
Manchester City,Liverpool,5,5
Sevilla,RB Leipzig,1,0
Napoli,Manchester United,3,4
Tottenham Hotspur,Arsenal,4,0
Juventus,Atlético de Madrid,5,0
Lyon,Chelsea,0,3
Tottenham Hotspur,RB Leipzig,0,3
Napoli,Manchester City,2,0
Barcelona,Arsenal,2,5
Juventus,Bayern Munich,4,2
Borussia Dortmund,Barcelona,2,2
Borussia Dortmund,Inter Milan,0,2
Lyon,Liverpool,0,2
Bayern Munich,Benfica,3,1
Lyon,Barcelona,5,2
Arsenal,RB Leipzig,4,2
Arsenal,Benfica,3,5
Chelsea,Juventus,3,2
Juventus,Lyon,0,5
Lyon,Arsenal,5,0
Arsenal,Atlético de Madrid,4,2
Paris Saint-Germain,Napoli,4,3
Sevilla,Inter Milan,3,3
Manchester City,AC Milan,5,2
Juventus,Borussia Dortmund,2,4
Paris Saint-Germain,Barcelona,4,3
Bayern Munich,Chelsea,0,2
Real Madrid,Paris Saint-Germain,0,3
Atlético de Madrid,Barcelona,4,0
Lyon,RB Leipzig,0,1
Chelsea,Manchester City,4,5
Juventus,Atlético de Madrid,2,2
Juventus,Benfica,3,3
RB Leipzig,AC Milan,5,2
Bayern Munich,Napoli,0,1
Borussia Dortmund,Chelsea,5,0
Liverpool,Chelsea,3,5
Tottenham Hotspur,Real Madrid,5,2
RB Leipzig,Inter Milan,2,4
Barcelona,AC Milan,5,3
Real Madrid,RB Leipzig,3,0
Manchester United,Real Madrid,1,0
Bayern Munich,Napoli,3,4
AC Milan,Benfica,5,5
Napoli,Manchester City,2,2
Tottenham Hotspur,Barcelona,1,1
Liverpool,Manchester United,2,2
Inter Milan,RB Leipzig,5,4
Arsenal,Juventus,4,3
Juventus,Barcelona,3,3
Atlético de Madrid,Juventus,3,4
Manchester United,RB Leipzig,3,0
Arsenal,Atlético de Madrid,1,1
Lyon,Inter Milan,0,3
Borussia Dortmund,Sevilla,3,2
Atlético de Madrid,Chelsea,0,3
Barcelona,Sevilla,4,3
Manchester City,Inter Milan,5,3
Manchester City,Napoli,0,1
Liverpool,Paris Saint-Germain,3,0
Benfica,Inter Milan,1,4
RB Leipzig,Paris Saint-Germain,3,4
Benfica,Borussia Dortmund,3,4
Manchester United,Manchester City,4,1
Atlético de Madrid,Real Madrid,0,1
Paris Saint-Germain,Manchester United,1,3
Bayern Munich,Inter Milan,0,3
Chelsea,Barcelona,2,3
Juventus,Napoli,3,4
Juventus,AC Milan,4,5
Manchester United,Lyon,1,0
Arsenal,Liverpool,3,0
Inter Milan,Barcelona,2,0
Tottenham Hotspur,Napoli,0,2
Liverpool,Chelsea,5,0
Atlético de Madrid,Borussia Dortmund,3,1
Paris Saint-Germain,Real Madrid,4,5
Sevilla,Chelsea,4,0
AC Milan,Bayern Munich,5,0
Real Madrid,Manchester City,3,4
Chelsea,Tottenham Hotspur,4,1
RB Leipzig,AC Milan,4,1
Barcelona,Borussia Dortmund,5,5
Bayern Munich,Inter Milan,2,2
Atlético de Madrid,Lyon,0,3
AC Milan,Manchester City,2,5
Manchester City,Liverpool,1,4
Liverpool,Chelsea,0,4
Real Madrid,Benfica,2,0
Tottenham Hotspur,Manchester United,3,2
Atlético de Madrid,Liverpool,1,4
Bayern Munich,Atlético de Madrid,2,5
Chelsea,AC Milan,2,0
Napoli,Borussia Dortmund,3,2
Arsenal,Sevilla,5,4
RB Leipzig,Atlético de Madrid,4,2
RB Leipzig,Borussia Dortmund,5,1
